,EARNINGS,S,EXP,FEMALE,MALE,BYEAR,AGE,AGEMBTH,HHINC97,POVRAT97,HHBMBF,HHBMOF,HHOMBF,HHBMONLY,HHBFONLY,HHOTHER,MSA97NO,MSA97NCC,MSA97CC,MSA97NK,ETHBLACK,ETHHISP,ETHWHITE,EDUCPROF,EDUCPHD,EDUCMAST,EDUCBA,EDUCAA,EDUCHSD,EDUCGED,EDUCDO,PRMONM,PRMONF,PRMSTYUN,PRMSTYPE,PRMSTYAN,PRMSTYAE,PRFSTYUN,PRFSTYPE,PRFSTYAN,PRFSTYAE,SINGLE,MARRIED,COHABIT,OTHSING,FAITHN,FAITHP,FAITHC,FAITHJ,FAITHO,FAITHM,ASVABAR,ASVABWK,ASVABPC,ASVABMK,ASVABNO,ASVABCS,ASVABC,ASVABC4,VERBAL,ASVABMV,HEIGHT,WEIGHT04,WEIGHT11,SF,SM,SFR,SMR,SIBLINGS,REG97NE,REG97NC,REG97S,REG97W,RS97RURL,RS97URBN,RS97UNKN,JOBS,HOURS,TENURE,CATGOV,CATPRI,CATNPO,CATMIS,CATSE,COLLBARG,URBAN,REGNE,REGNC,REGW,REGS,MSA11NO,MSA11NCC,MSA11CC,MSA11NK,MSA11NIC
10,10.0,16.0,0.9807692,0.0,1.0,1983.0,28.0,27.0,123950.0,779.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.467638,0.5313508,1.389445,2.194367,1.73956,1.210876,1.883506,1.841442,1.023924,92297.0,73.0,165.0,170.0,12.0,17.0,17.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,14.0,1.096154,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,19.65,16.0,2.730769,0.0,1.0,1984.0,27.0,28.0,75000.0,471.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.578777,-0.3589122,-1.498319,-1.896956,-1.790818,-0.164277,-1.378437,-1.492957,-0.9908108,6538.0,72.0,280.0,224.0,12.0,14.0,12.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,40.0,2.807692,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
12,8.0,13.0,2.788461,0.0,1.0,1983.0,28.0,18.0,22536.11955756081,109.98507896522784,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,8.685200684196744,0.0,1.0,0.0,0.0,0.9999999773659178,2.7875563191059882e-08,-1.2007747907105681e-08,7.417867209369433e-09,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.7152421,-1.103236,-1.028175,-1.66027,-0.3774311,-3.656701,-0.9792036,-1.261805,-1.137025,10563.0,66.0,150.0,165.0,14.0,11.0,14.0,11.816589399444196,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,10.0,1.519231,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,17.46,16.0,4.730769,0.0,1.0,1984.0,27.0,32.0,68871.23184590293,447.83701559101456,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6983628,0.8909323,1.374134,-0.1933249,0.8146586,-0.1689523,1.005763,0.7745319,1.207516,84611.0,71.0,160.0,165.0,14.0,16.0,16.0,16.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,40.0,5.307693,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,31.73,18.0,4.923077,0.0,1.0,1982.0,29.0,28.0,77400.0,413.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.570518,-0.421452,-0.5918006,1.226427,0.1507418,-1.035889,0.0346679,0.2186724,-0.5407364,49154.0,70.0,180.0,200.0,14.0,14.0,14.0,14.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,40.0,3.884615,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,27.27,18.0,6.980769,0.0,1.0,1980.0,31.0,32.0,61760.0,375.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.447800652235465,9.652225837761208,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.662593,0.8694142,0.8283687,1.679662,0.9819242,1.23818,1.379795,1.40973,0.9049966,91806.0,70.0,155.0,170.0,16.0,16.0,16.0,16.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,55.0,5.923077,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
16,16.92,19.0,5.884615,0.0,1.0,1981.0,30.0,30.0,71478.31755777974,454.8555469987357,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.7940989894472,5.8296145241873205,0.9999999835795974,1.468621224631761e-08,8.881717583619775e-10,1.3365459849978834e-09,0.9999999859964692,1.4533368286606674e-08,-1.1549605716254518e-10,-6.478639846818623e-11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6148881,0.546108,-0.1349667,0.527154,-0.5025662,0.1655544,0.4504557,0.4339999,0.2188602,65383.0,69.0,195.0,194.0,16.0,13.0,16.0,13.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,50.0,5.326923,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,50.48,13.0,3.442308,0.0,1.0,1983.0,28.0,24.0,18900.0,150.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.669611008802882,6.338196714761565,0.9999999863448801,1.4704340411952899e-08,4.736220304835115e-10,-1.2334009369396881e-09,0.9999999878504049,1.0200880140587287e-08,-6.054621248807734e-10,3.001054516005297e-09,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5623855,0.5768825,0.7555702,0.7886332,-0.6801175,-0.5301934,0.6747651,0.7502894,0.7101744,78318.0,70.0,205.0,225.0,18.0,12.0,17.595438474017975,12.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,80.0,0.3846154,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
18,49.02,13.0,7.5,0.0,1.0,1982.0,29.0,20.0,36000.0,225.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,5.317490657624816,0.0,0.0,0.0,1.0,0.9999999815266536,1.3113494290450944e-08,1.1641225761138685e-09,4.940770459427313e-09,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9360111,0.5244685,0.8405336,0.7864723,1.416221,0.0341242,0.8890432,0.863345,0.7275323,84379.0,70.0,180.0,175.0,12.0,13.0,12.42465699141161,13.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,40.0,1.634615,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,25.6,12.0,6.326923,0.0,1.0,1984.0,27.0,23.0,31500.0,198.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7795934,-0.1301155,0.1097209,-0.31524,0.6633154,-0.117836,-0.4344917,-0.3127041,-0.011268,44283.0,73.0,180.0,185.0,12.0,12.0,12.0,12.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.0,40.0,0.5961539,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
20,20.0,19.0,0.0,0.0,1.0,1981.0,30.0,28.0,52933.15316301109,350.0180797512669,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.52100204659115,6.166001479815449,0.9999999918662181,1.1464021287821424e-08,1.779485891972854e-09,-5.137152925271948e-09,0.9999999763479925,1.8634997545063925e-08,2.428645506924454e-09,3.424477590385777e-09,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4230841,0.2581202,0.4199516,0.1561081,-1.086012,0.6433668,0.4183944,0.3511925,0.3612081,59470.0,72.0,190.0,190.0,9.0,12.0,9.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,10.0,0.6730769,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
21,65.0,12.0,9.807693,0.0,1.0,1983.0,28.0,24.0,78000.0,490.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6305825,0.5552549,0.1094629,1.486199,0.7245056,-0.7162691,0.5287601,0.7777207,0.3540867,75525.0,70.0,180.0,200.0,10.0,12.0,14.0,12.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,45.0,0.4423077,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,12.35,13.0,10.30769,0.0,1.0,1980.0,31.0,23.0,44000.0,348.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.27951035891828,4.981667846309151,0.0,1.0,0.0,0.0,0.9999999869392076,1.6650334444534565e-08,-3.122655245491046e-09,-2.3352875189175393e-10,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.6252025,-0.004794,-0.4327081,-1.173151,-0.0903374,0.2607373,-0.4642581,-0.6262903,-0.2337019,21099.0,70.0,238.0,250.0,12.0,12.0,12.132944226571546,12.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,40.0,2.403846,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,32.52,18.0,7.788462,0.0,1.0,1980.0,31.0,34.0,50501.0,400.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.843906211128512,6.866079959324722,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.504887,1.748176,0.7282832,1.652099,3.414461,3.14943,1.507094,1.575783,1.320247,93563.0,72.0,205.0,225.0,14.0,16.0,14.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,55.0,7.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
24,21.31,15.0,5.788462,0.0,1.0,1980.0,31.0,23.0,66480.05699896406,431.7469388712901,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.068947119211295,7.702498305914915,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.516609,2.715724,1.190901,1.343601,1.453594,1.695733,1.906525,1.89294,2.082921,95143.0,67.0,170.0,180.0,14.0,18.0,14.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,37.0,4.461538,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
25,10.0,12.0,12.01923,0.0,1.0,1980.0,31.0,30.0,32200.0,196.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.214094546771719,4.57466822971044,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1601282,0.6975321,1.180892,-0.0006456,1.250154,0.0995964,0.603721,0.5696404,1.001328,74589.0,68.0,150.0,163.0,10.0,14.0,10.0,14.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,40.0,0.5769231,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
26,8.0,8.0,9.884615,0.0,1.0,1984.0,27.0,19.0,18500.0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.197394465117618,6.433920692391624,0.9999999886521322,1.4095608236175394e-08,-3.718819474585189e-09,1.2091749823639475e-09,0.999999981263465,1.9680760132700925e-08,-1.5776111528253978e-09,1.1170691038842051e-09,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.44296,-1.458502,-1.491646,-1.664787,-2.268918,-0.553571,-2.153686,-1.975646,-1.573639,1668.0,68.0,158.0,145.0,11.0,8.0,11.0,8.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,50.0,4.480769,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,15.0,19.0,7.576923,0.0,1.0,1980.0,31.0,28.0,71523.58516679038,421.68151060030414,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.765685577604216,7.694458781867596,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4755392,0.057812,0.485854,0.6619365,0.8040382,-0.5331233,0.4102894,0.4698066,0.2895326,56870.0,73.0,175.0,190.0,14.0,14.0,14.0,14.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,10.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,13.74,20.0,1.730769,0.0,1.0,1982.0,29.0,26.0,69750.0,372.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.469866,0.5552024,1.231979,1.107692,1.946087,0.0391112,1.298443,1.22076,0.9526708,89933.0,69.0,174.0,160.0,13.0,12.0,13.0,12.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,70.0,0.3461539,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
